SKU,Product Name,Brand,Category,Subcategory,Description,Key Features,Price (GHS),Price (USD),Condition,Stock Status,Image Path,Date Added
STO-SOL-0025,Dato SSD DS700 128GB,Dato,Storage,Solid State Drives,Secure and expand your digital storage with the Dato SSD DS700 128GB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,1045,83.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Dato SSD DS700 128GB.png,2025-09-04
ELE-OTH-0026,DC12WK-G-TYPE C Android,Generic,Electronics,Other,The DC12WK-G-TYPE C Android from DC12WK-G-TYPE offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DC12WK-G-TYPE C Android.png,2025-09-04
COM-LAP-0027,DELL Inspiron 15 Core i3 11th Gen 8GB RAM 128GB SSD-,Dell,Computing,Laptops,The DELL Inspiron 15 Core i3 11th Gen 8GB RAM 128GB SSD- delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,20350,1628.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DELL Inspiron 15 Core i3 11th Gen 8GB RAM 128GB SSD-.png,2025-09-04
COM-LAP-0028,DELL Inspiron 15 Core i3 11th Gen 8GB RAM 128GB SSD,Dell,Computing,Laptops,The DELL Inspiron 15 Core i3 11th Gen 8GB RAM 128GB SSD delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,20350,1628.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DELL Inspiron 15 Core i3 11th Gen 8GB RAM 128GB SSD.png,2025-09-04
PHO-GIM-0029,DJI OSMO MOBILE SE 1,DJI,Photography,Gimbals,Capture life's moments with the DJI OSMO MOBILE SE 1. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,3500,280.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DJI OSMO MOBILE SE 1.png,2025-09-04
PHO-GIM-0030,DJI OSMO MOBILE SE 2,DJI,Photography,Gimbals,Capture life's moments with the DJI OSMO MOBILE SE 2. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,3500,280.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DJI OSMO MOBILE SE 2.png,2025-09-04
PHO-TRI-0031,DK 3888 Mobile Phone Tripod,Generic,Photography,Tripods,Capture life's moments with the DK 3888 Mobile Phone Tripod. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DK 3888 Mobile Phone Tripod.png,2025-09-04
NET-MOB-0032,DLINK 4G LTE,D-Link,Networking,Mobile Internet,"""Stay connected with the DLINK 4G LTE. Featuring fast, reliable networking capabilities for seamless internet connectivity.""",• High-speed connectivity • Easy setup and configuration • Reliable performance • Security features • Multiple device support,900,72.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DLINK 4G LTE.png,2025-09-04
ACC-CAB-0033,DP To HDMI Adapter,Generic,Accessories,Cables,The DP To HDMI Adapter from DP offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,175,14.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/DP To HDMI Adapter.png,2025-09-04
ELE-OTH-0034,Easy One Touch Car And Desk Mount,Generic,Electronics,Other,The Easy One Touch Car And Desk Mount from Easy offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Easy One Touch Car And Desk Mount.png,2025-09-04
PHO-INS-0035,Fujifilm Instax Mini 11,Fujifilm,Photography,Instant Cameras,Capture life's moments with the Fujifilm Instax Mini 11. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,1480,118.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Fujifilm Instax Mini 11.png,2025-09-04
ELE-OTH-0036,General Counting Machine,Generic,Electronics,Other,The General Counting Machine from General offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/General Counting Machine.png,2025-09-04
DIS-TEL-0037,H.View Dome CCTV Camera,Generic,Displays,Televisions,"""Enhance your visual experience with the H.View Dome CCTV Camera. Featuring crisp, clear display technology for work and entertainment.""",• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,5000,400.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/H.View Dome CCTV Camera.png,2025-09-04
STO-USB-0038,HD Sound quality input USB,Generic,Storage,USB Drives,Secure and expand your digital storage with the HD Sound quality input USB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HD Sound quality input USB.png,2025-09-04
ACC-ADA-0039,HE800 3 pin Travel Adapter-Flat,Generic,Accessories,Adapters,The HE800 3 pin Travel Adapter-Flat from HE800 offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,175,14.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HE800 3 pin Travel Adapter-Flat.png,2025-09-04
STO-USB-0040,HIGH Quality USB2.0 Cable M-M USB2.0 1.5M,Generic,Storage,USB Drives,Secure and expand your digital storage with the HIGH Quality USB2.0 Cable M-M USB2.0 1.5M. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HIGH Quality USB2.0 Cable M-M USB2.0 1.5M.png,2025-09-04
ACC-CAB-0041,HIGH Quality VGA Cable1.5M,Generic,Accessories,Cables,The HIGH Quality VGA Cable1.5M from HIGH offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HIGH Quality VGA Cable1.5M.png,2025-09-04
DIS-TEL-0042,High speed 1.4V hdtv HDMI 10m cable  black,Generic,Displays,Televisions,"""Enhance your visual experience with the High speed 1.4V hdtv HDMI 10m cable  black. Featuring crisp, clear display technology for work and entertainment.""",• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,5000,400.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/High speed 1.4V hdtv HDMI 10m cable  black.png,2025-09-04
ACC-CAB-0043,HIGH speed Cat6 cable 3M,Generic,Accessories,Cables,The HIGH speed Cat6 cable 3M from HIGH offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HIGH speed Cat6 cable 3M.png,2025-09-04
COM-LAP-0044,HP 22 AIO PNT BLACK -,HP,Computing,Laptops,The HP 22 AIO PNT BLACK - delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HP 22 AIO PNT BLACK -.png,2025-09-04
COM-LAP-0045,HP 22 AIO PNT BLACK,HP,Computing,Laptops,The HP 22 AIO PNT BLACK delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HP 22 AIO PNT BLACK.png,2025-09-04
COM-LAP-0046,HP 240 G7-,HP,Computing,Laptops,The HP 240 G7- delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HP 240 G7-.png,2025-09-04
COM-LAP-0047,HP 240 G7,HP,Computing,Laptops,The HP 240 G7 delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HP 240 G7.png,2025-09-04
COM-LAP-0048,hp 24m 23.8-inch display,HP,Computing,Laptops,The hp 24m 23.8-inch display delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/hp 24m 23.8-inch display.png,2025-09-04
COM-LAP-0049,Hp 250G8 i5,HP,Computing,Laptops,The Hp 250G8 i5 delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Hp 250G8 i5.png,2025-09-04
COM-LAP-0050,HP 290 G4 Microtower Desktop Computer,HP,Computing,Laptops,The HP 290 G4 Microtower Desktop Computer delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HP 290 G4 Microtower Desktop Computer.png,2025-09-04
COM-LAP-0051,Hp i5 15-dy2093dx,HP,Computing,Laptops,The Hp i5 15-dy2093dx delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Hp i5 15-dy2093dx.png,2025-09-04
COM-LAP-0052,Hp Laser 107a,HP,Computing,Laptops,The Hp Laser 107a delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Hp Laser 107a.png,2025-09-04
COM-LAP-0053,Hp Laser Jet Pro M404dn,HP,Computing,Laptops,The Hp Laser Jet Pro M404dn delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,19500,1560.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Hp Laser Jet Pro M404dn.png,2025-09-04
COM-LAP-0054,Hp Laser Jet Pro MFP M428dw,HP,Computing,Laptops,The Hp Laser Jet Pro MFP M428dw delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,19500,1560.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Hp Laser Jet Pro MFP M428dw.png,2025-09-04
COM-LAP-0055,HP Toner 201A Magenta,HP,Computing,Laptops,The HP Toner 201A Magenta delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,15000,1200.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/HP Toner 201A Magenta.png,2025-09-04
COM-LAP-0056,Hp Wireless CS10 Combo Mouse & Keyboard,HP,Computing,Laptops,The Hp Wireless CS10 Combo Mouse & Keyboard delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,19500,1560.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Hp Wireless CS10 Combo Mouse & Keyboard.png,2025-09-04
STO-USB-0057,Imation Sledge flash drive 32GB,Imation,Storage,USB Drives,Secure and expand your digital storage with the Imation Sledge flash drive 32GB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,157,12.56,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Imation Sledge flash drive 32GB.png,2025-09-04
AUD-SPE-0058,JBL Harman Flip 5,JBL,Audio/Video,Speakers,Immerse yourself in superior sound quality with the JBL Harman Flip 5. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,1400,112.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/JBL Harman Flip 5.png,2025-09-04
AUD-SPE-0059,JBL Harman Flip 6,JBL,Audio/Video,Speakers,Immerse yourself in superior sound quality with the JBL Harman Flip 6. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,1400,112.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/JBL Harman Flip 6.png,2025-09-04
AUD-SPE-0060,JBL Harman TUNE 215 TWS,JBL,Audio/Video,Speakers,Immerse yourself in superior sound quality with the JBL Harman TUNE 215 TWS. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,1400,112.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/JBL Harman TUNE 215 TWS.png,2025-09-04
COM-LAP-0061,Laptop power cable,Generic,Computing,Laptops,The Laptop power cable delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,22500,1800.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Laptop power cable.png,2025-09-04
PHO-PRO-0062,LED PROJECTOR DRK-1220,Generic,Photography,Projectors,Capture life's moments with the LED PROJECTOR DRK-1220. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,3575,286.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/LED PROJECTOR DRK-1220.png,2025-09-04
ELE-OTH-0063,Lenovo Ryzen Yoga AMD 13ALC6,Lenovo,Electronics,Other,The Lenovo Ryzen Yoga AMD 13ALC6 from Lenovo offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Lenovo Ryzen Yoga AMD 13ALC6.png,2025-09-04
STO-SOL-0064,Lexar NS100 SATA SSD 1TB,Lexar,Storage,Solid State Drives,Secure and expand your digital storage with the Lexar NS100 SATA SSD 1TB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,1235,98.8,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Lexar NS100 SATA SSD 1TB.png,2025-09-04
STO-SOL-0065,Lexar NS100 SATA SSD 256GB,Lexar,Storage,Solid State Drives,Secure and expand your digital storage with the Lexar NS100 SATA SSD 256GB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,1140,91.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Lexar NS100 SATA SSD 256GB.png,2025-09-04
ACC-CAB-0066,LF 132 Audio cable 3.8mm 20cm,Generic,Accessories,Cables,The LF 132 Audio cable 3.8mm 20cm from LF offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/LF 132 Audio cable 3.8mm 20cm.png,2025-09-04
AUD-HEA-0067,Lightning To Headphone Jack Adapter,Generic,Audio/Video,Headphones,Immerse yourself in superior sound quality with the Lightning To Headphone Jack Adapter. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,600,48.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Lightning To Headphone Jack Adapter.png,2025-09-04
AUD-HEA-0068,Logitech H110 Stereo Headset,Logitech,Audio/Video,Headphones,Immerse yourself in superior sound quality with the Logitech H110 Stereo Headset. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,750,60.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Logitech H110 Stereo Headset.png,2025-09-04
AUD-HEA-0069,Logitech H540 USB Headset,Logitech,Audio/Video,Headphones,Immerse yourself in superior sound quality with the Logitech H540 USB Headset. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,750,60.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Logitech H540 USB Headset.png,2025-09-04
AUD-WIR-0070,Logitech MK220 Wireless Combo,Logitech,Audio/Video,Wireless Audio,Immerse yourself in superior sound quality with the Logitech MK220 Wireless Combo. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Logitech MK220 Wireless Combo.png,2025-09-04
AUD-WIR-0071,LOGITECH Wireless,Logitech,Audio/Video,Wireless Audio,Immerse yourself in superior sound quality with the LOGITECH Wireless. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/LOGITECH Wireless.png,2025-09-04
NET-MOB-0072,M7200 4G LTE Mobile Wi-Fi,Generic,Networking,Mobile Internet,"""Stay connected with the M7200 4G LTE Mobile Wi-Fi. Featuring fast, reliable networking capabilities for seamless internet connectivity.""",• High-speed connectivity • Easy setup and configuration • Reliable performance • Security features • Multiple device support,900,72.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/M7200 4G LTE Mobile Wi-Fi.png,2025-09-04
